Language,Id,Text
hin,993401258680631296,@UkIndiannri @ImLibran14 @khushikadri Mera hero abhi tak sirf ek hai our vo hai mahi 😍😄
dut,996405655673147396,Var markt #dagvandeverpleging 2018 # StAntoniusZiekenhuis
ita,989531865710301186,#nuoviarrivi #donna #streetone #nuovobrand #altaqualitá #terzomillennio #fashion #jeans #ruffano… https://t.co/ObQCttyG0j
bul,993106283522936832,Интер отнесе Удинезе и продължава борбата за място в Шампионската лига https://t.co/RvOrOogZTb
jpn,991293463227285505,食欲がめっきり落ちてもーた。あれか、夏バテか
nor,992921226946531328,RT @politietsorost: #Rjukan: kl 0200: Vi er på en privat adresse hvor det er en fest med ca 30 ungdommer. Har vært slagsmål og en er blitt…
nor,992874284606509056,transexual knulle en jente amisha patel falske naken https://t.co/hJaBG34Mo0
vie,991864050345697280,Đài Mỹ cảnh báo Trung Quốc đưa tên lửa đến biển Đông https://t.co/R2edH10KHw https://t.co/dhRwemBQJE
hun,989571082217811969,"A kidobott kisfilmek közül 6,7 milliót az erre a célra fejlesztett szoftver jelölt meg gyanúsként. https://t.co/Nb0PjBqI4x"
ukr,992191597839298560,RT @EspresoTV: У Латвії пропонують вилучити російські канали з кабельного телебачення https://t.co/0Uumf7WprD
fin,989770146708254720,"@Datatuki Tulvalakeuksilla näyttää ihmisillä olevan asenteet kohdillaan. Ei jäädä turhia surkuttelemaan, vaan pistetään hihat heilumaan."
deu,992375634558181376,RT @SonjaZeltner: #ff @_presse_tante_ @Katalonien2018 @Der_Amtsleiter @Hirnfutter1 @PapaPorter1 @LindaLeeKing @carolyn660 @wiergeezy @LudMa…
dut,996291717027586048,@JellekeNL @voedingscentrum @GezondeBrigade Ik zou schoolkantines gezonder kunnen maken en ben daarom niet geschikt voor deze functie. ;-)
swe,992143933294678017,"Fyllt på med aktier i Husqvarna, H&amp;M, New Wave och Castellum. Ökat innehavet i Roburs Ny Teknik och Råvarufond. Hop… https://t.co/AshrkYfvbr"
dut,996406690328301568,Een gemis. Heeft prachtige boeken geschreven.. https://t.co/Xi4trhwGZU
fra,993960588391968769,"Bravo les Herbiers ! Dans l'attitude comme au niveau technique, ils ont été bien moins ridicules que beaucoup d'aut… https://t.co/7lqcz8R2i5"
msa,990127707605295104,Apel juga mengandung asam malat yang bertindak sebagai bahan alami untuk 'mengendurkan' dan menghilangkan noda pada permukaan gigi
msa,990127375890477056,"yunanalamsyah15  Hai, Mas Yunan. Mohon maaf atas ketidaknyamanan yang dialami. Mengenai keluhan tidak dapat aktivas… https://t.co/ZS103pqG1D"
grk,991978488663019521,"RT @Nemesis_S12: -πες μου κατι να νιωσω γυναικα
-δεν μπορω εχω πονοκεφαλο"
ces,991261768092651520,"jedna moje kamaradka dela modeling, a vždycky když vidim ty její fotky tak sem na ni strašně moc pysna, a vůbec je… https://t.co/cjfqcRiEiB"
ron,991765951786946562,"LIVE România – Hong Kong, meci decisiv acum pentru calificarea în optimile Campionatului Mondial 2018 de tenis de m… https://t.co/wiLCfbSJif"
hun,989034894385958918,Tavaszi turista-kirándulás a Bakonyban : Kilátás a Bakonyra a Cseszneki vár fokáról / Balogh Rudolf… https://t.co/6XJKnGoIea
ces,990677101215961088,Doporučené aplikace a hry v iOS 11 táhnou. Stahují se až o 800 % více. #AppStore https://t.co/cCcZOTqnhH https://t.co/FP7NukULS3
rus,991618996976979968,"RT @BzdDzapadlowski: Еду по Москве в такси с армянином, слушаем заседание армянского парламента онлайн. Таксист мне и переводчик, и собесед…"
vie,991818313629134848,Tôi đã thích video https://t.co/sAqsem12XW Bé Huy TV ❤Trải nghiệm trò chơi bowling ❤ game bowling❤ trên @YouTube
deu,992430441176190977,"RT @sarah_ungar: „Auch Präsident @EmmanuelMacron kann nicht über‘s Wasser laufen.“
sagt @RadtkeMdEP auf der #MitredenEU Veranstaltung in #D…"
grk,991975147962818560,Οι 17 διμοιρίες ΜΑΤ γιατί πήγαν στη Μυτιλήνη; Αφού δεν κυκλοφορεί ούτε γάτα! Θα φοβούνται ταραχές από Ακροδεξιά στο… https://t.co/PciX2v6Dqh
pol,991444877727576064,@CzarnaJazbb Nie wiem czy podsuwanie 13-letniej córki siostrom / księżom do ich okien to dobry pomysł ... :-)
ita,989613427537731585,Ma la 38 dove tesoro esattamente? #Matrimonioaprimavista
tgl,993577641130184705,Akala ko talaga dapat tulog na tulog ako ngayon. Pero shems. Mula alas dos dilat na dilat ang mga mata ko 😅
ita,989510903023521792,⚠️ - 4⃣ giorni alla Early bird Deadline per partecipare alla quarta edizione del Montelupo Fiorentino Film Festival… https://t.co/9o3pykT405
hun,989766900509913088,"Egy csodálatos INGYENES giga Zenés Lézer Show produkció és érdekes témák és sztorik az előadóktól emelkedett, nem m… https://t.co/Mj9zWMcIzE"
tha,993395109046534144,RT @tkxmq_: เอาจริงๆนี่คือลิปจิ้มจุ่มที่ดีที่สุดของคนไทย คือนางดีม้ากก ปากไม่แห้ง ไม่แตก สีสวย เบลนง่าย ไม่ได้ทายอินนะบอกเลยอยากให้ลองๆๆ มี…
rus,991617481730117632,RT @IBN_MOHAMMAD: В Иране тоже заблокировали #Telegram. Аудитория у мессенджера в этой стране была колоссальная https://t.co/eRGfS4CLdp
tur,993765313878679553,"@_Digerkam_ @selim___pusat @trumpelsisi Çok bilmiş
Çok felsefik 
Çok teorik

Pratik ise baskın seçime bir taraftan… https://t.co/2PTtRGTBde"
tur,993759840991297536,RT @HalitEsendir2: Evet g koredeki  hizmet ehli Malik Gencer vefat etti Allah rahmet eylesin izmir esrefpasali ejder abi degil https://t.co…
ron,990145084539723776,"RT @xd_teodora: YoonGi iubire daca vi in Romania te învăț sa ii injuri pe băieți in română :)
#PremiosMTVMiaw 
#MTVBRKPOPBTS 
#BTSinRomania"
