Language,Id,Text
_,34012586806312,@UkIndiannri @ImLibran14 @khushikadri Mera hero abhi tak sirf ek hai our vo hai mahi 😍😄
_,64056556731473,Var markt #dagvandeverpleging 2018 # StAntoniusZiekenhuis
_,989531865710301186,#nuoviarrivi #donna #streetone #nuovobrand #altaqualitá #terzomillennio #fashion #jeans #ruffano… https://t.co/ObQCttyG0j
_,31062835229368,Интер отнесе Удинезе и продължава борбата за място в Шампионската лига https://t.co/RvOrOogZTb
_,12934632272855,食欲がめっきり落ちてもーた。あれか、夏バテか
_,29212269465313,RT @politietsorost: #Rjukan: kl 0200: Vi er på en privat adresse hvor det er en fest med ca 30 ungdommer. Har vært slagsmål og en er blitt…
_,28742846065090,transexual knulle en jente amisha patel falske naken https://t.co/hJaBG34Mo0
_,18640503456972,Đài Mỹ cảnh báo Trung Quốc đưa tên lửa đến biển Đông https://t.co/R2edH10KHw https://t.co/dhRwemBQJE
_,989571082217811969,"A kidobott kisfilmek közül 6,7 milliót az erre a célra fejlesztett szoftver jelölt meg gyanúsként. https://t.co/Nb0PjBqI4x"
_,21915978392985,RT @EspresoTV: У Латвії пропонують вилучити російські канали з кабельного телебачення https://t.co/0Uumf7WprD
_,989770146708254720,"@Datatuki Tulvalakeuksilla näyttää ihmisillä olevan asenteet kohdillaan. Ei jäädä turhia surkuttelemaan, vaan pistetään hihat heilumaan."
_,23756345581813,RT @SonjaZeltner: #ff @_presse_tante_ @Katalonien2018 @Der_Amtsleiter @Hirnfutter1 @PapaPorter1 @LindaLeeKing @carolyn660 @wiergeezy @LudMa…
_,62917170275860,@JellekeNL @voedingscentrum @GezondeBrigade Ik zou schoolkantines gezonder kunnen maken en ben daarom niet geschikt voor deze functie. ;-)
_,21439332946780,"Fyllt på med aktier i Husqvarna, H&amp;M, New Wave och Castellum. Ökat innehavet i Roburs Ny Teknik och Råvarufond. Hop… https://t.co/AshrkYfvbr"
_,64066903283015,Een gemis. Heeft prachtige boeken geschreven.. https://t.co/Xi4trhwGZU
_,39605883919687,"Bravo les Herbiers ! Dans l'attitude comme au niveau technique, ils ont été bien moins ridicules que beaucoup d'aut… https://t.co/7lqcz8R2i5"
_,01277076052951,Apel juga mengandung asam malat yang bertindak sebagai bahan alami untuk 'mengendurkan' dan menghilangkan noda pada permukaan gigi
_,01273758904770,"yunanalamsyah15  Hai, Mas Yunan. Mohon maaf atas ketidaknyamanan yang dialami. Mengenai keluhan tidak dapat aktivas… https://t.co/ZS103pqG1D"
_,19784886630195,"RT @Nemesis_S12: -πες μου κατι να νιωσω γυναικα
-δεν μπορω εχω πονοκεφαλο"
_,12617680926515,"jedna moje kamaradka dela modeling, a vždycky když vidim ty její fotky tak sem na ni strašně moc pysna, a vůbec je… https://t.co/cjfqcRiEiB"
_,17659517869465,"LIVE România – Hong Kong, meci decisiv acum pentru calificarea în optimile Campionatului Mondial 2018 de tenis de m… https://t.co/wiLCfbSJif"
_,989034894385958918,Tavaszi turista-kirándulás a Bakonyban : Kilátás a Bakonyra a Cseszneki vár fokáról / Balogh Rudolf… https://t.co/6XJKnGoIea
_,06771012159610,Doporučené aplikace a hry v iOS 11 táhnou. Stahují se až o 800 % více. #AppStore https://t.co/cCcZOTqnhH https://t.co/FP7NukULS3
_,16189969769799,"RT @BzdDzapadlowski: Еду по Москве в такси с армянином, слушаем заседание армянского парламента онлайн. Таксист мне и переводчик, и собесед…"
_,18183136291348,Tôi đã thích video https://t.co/sAqsem12XW Bé Huy TV ❤Trải nghiệm trò chơi bowling ❤ game bowling❤ trên @YouTube
_,24304411761909,"RT @sarah_ungar: „Auch Präsident @EmmanuelMacron kann nicht über‘s Wasser laufen.“
sagt @RadtkeMdEP auf der #MitredenEU Veranstaltung in #D…"
_,19751479628185,Οι 17 διμοιρίες ΜΑΤ γιατί πήγαν στη Μυτιλήνη; Αφού δεν κυκλοφορεί ούτε γάτα! Θα φοβούνται ταραχές από Ακροδεξιά στο… https://t.co/PciX2v6Dqh
_,14448777275760,@CzarnaJazbb Nie wiem czy podsuwanie 13-letniej córki siostrom / księżom do ich okien to dobry pomysł ... :-)
_,989613427537731585,Ma la 38 dove tesoro esattamente? #Matrimonioaprimavista
_,35776411301847,Akala ko talaga dapat tulog na tulog ako ngayon. Pero shems. Mula alas dos dilat na dilat ang mga mata ko 😅
_,989510903023521792,⚠️ - 4⃣ giorni alla Early bird Deadline per partecipare alla quarta edizione del Montelupo Fiorentino Film Festival… https://t.co/9o3pykT405
_,989766900509913088,"Egy csodálatos INGYENES giga Zenés Lézer Show produkció és érdekes témák és sztorik az előadóktól emelkedett, nem m… https://t.co/Mj9zWMcIzE"
_,33951090465341,RT @tkxmq_: เอาจริงๆนี่คือลิปจิ้มจุ่มที่ดีที่สุดของคนไทย คือนางดีม้ากก ปากไม่แห้ง ไม่แตก สีสวย เบลนง่าย ไม่ได้ทายอินนะบอกเลยอยากให้ลองๆๆ มี…
_,16174817301176,RT @IBN_MOHAMMAD: В Иране тоже заблокировали #Telegram. Аудитория у мессенджера в этой стране была колоссальная https://t.co/eRGfS4CLdp
_,37653138786795,"@_Digerkam_ @selim___pusat @trumpelsisi Çok bilmiş
Çok felsefik 
Çok teorik

Pratik ise baskın seçime bir taraftan… https://t.co/2PTtRGTBde"
_,37598409912975,RT @HalitEsendir2: Evet g koredeki  hizmet ehli Malik Gencer vefat etti Allah rahmet eylesin izmir esrefpasali ejder abi degil https://t.co…
_,01450845397237,"RT @xd_teodora: YoonGi iubire daca vi in Romania te învăț sa ii injuri pe băieți in română :)
#PremiosMTVMiaw 
#MTVBRKPOPBTS 
#BTSinRomania"
_,41097392807485,"#الاختبارات _م11 
#قائدة_متميزة_نجلة_السيد تجهيزات رائعة وأجواء من الهدوء https://t.co/9WkkKbHWS0"
_,63513037847633,Hangt daar mooi hoor! Past zo leuk bij het bord voor jullie kop. #PalestineBleeds https://t.co/8ncaOvVvp9
_,12843495961231,"と言うことで今から吉祥寺で、新規事業の一角を担う若者と飲みーティング。
どれだけ覚悟があるのか見極めてやるぜよ。"
_,10672827544576,"@ChiefRobert2 Tak w szkole socjalistycznego planowania uczono. Jestem pewien, że szkołę ukończył z wyróżnieniem."
_,989495076404580352,Tetszett egy videó (@YouTube): https://t.co/ZJDdDcxZjr – Tangled The Series - Ready As I'll Ever Be SONG
_,13105068235325,自分が役に立っていないと精神的に参る人（程度は様々）と、まったく何ともない人がいる。自分がどうなのかを認識しておくと、ストレス解消や適所探しに役に立つ。
_,02229337328107,"RT @Sebstanrpth: The American Independent Film Festival in Bucharest, Romania
April 28, 2018  
#SebastianStan https://t.co/nTxbyPXGL7"
_,34208231919329,@sakshijoshii Madam Muslims ko ignore karke desh kabhi bhi age nahi badh sakta
_,01281345728020,"RT @Jeonjkookie97__: Hello we're Kelompok 1.
Menjual Barang Magic , bagi yang merindukan Film Harry Potter , AYO BELI!! . #HWMAGIC  (@OFCHO…"
_,39734517727109,RT @Aheqgnbeit: 자고로 컴백이란 9시에 씻고 경건한 마음으로 10시에 프리뷰쇼 본 다음 12시에 스밍리스트대로 신곡 들으면서 감동받고 트위터에서 뮤비 짤 주우면서 밤새는 맛이 있었는데 음원개혁 이 좆같은 걸 왜 했냐고
_,18527384882913,Những Thằng Nguy Hiểm Nhất Nhat The Gioi: https://t.co/8hbqBFhVxL via @YouTube
_,24065698149826,"@JosefKokta Už jsem to psal, ale radši to budu opakovat.
Přeju pevný nervy a ať je tohle brzy za tebou."
_,02850659460587,@KapitanNemoPL I idę o zakład ze kasa z fundacji tez płynie
